X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8859594.34275983,5427392.73708173,73,GO-2005736672,2005/02/12 05:00:00+00,2005,February,12,Saturday,43,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5870900924201,43.7536173825502
-8825661.93602149,5429828.83512007,74,GO-2005768554,2005/02/15 05:00:00+00,2005,February,15,Tuesday,46,D41,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822700955946,43.769422438429
-8835847.34203846,5414097.83665394,75,GO-2005918414,2005/02/15 05:00:00+00,2005,February,15,Tuesday,46,D51,Shooting,74,North St.James Town,74,North St.James Town (74),-79.3737671550415,43.6672884064532
-8848991.59930396,5405791.60945366,76,GO-2005929672,2005/02/18 05:00:00+00,2005,February,18,Friday,49,D22,Other,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),-79.4918440268936,43.6132897215093
-8843882.0115221,5432377.94002914,77,GO-2005969241,2005/02/28 05:00:00+00,2005,February,28,Monday,59,D32,Shooting,36,Newtonbrook West,36,Newtonbrook West (36),-79.4459438188703,43.7859561954736
-8833901.56094033,5425446.98129036,78,GO-2005953786,2005/03/05 05:00:00+00,2005,March,5,Saturday,64,D33,Shooting,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.3562879063953,43.7409905994257
-8849702.05031296,5407425.8936435,79,GO-2005745939,2005/03/11 05:00:00+00,2005,March,11,Friday,70,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.4982261174434,43.6239180191295
-8836469.70637967,5413264.87182645,80,GO-2005758352,2005/03/25 05:00:00+00,2005,March,25,Friday,84,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.379357949273,43.6618755009793
-8825548.56446721,5416874.68461992,81,GO-2005884190,2005/04/13 04:00:00+00,2005,April,13,Wednesday,103,D41,Shooting,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),-79.2812516620483,43.685329837141
-8842776.74278454,5409464.70904001,82,GO-20051052948,2005/04/18 04:00:00+00,2005,April,18,Monday,108,D11,Shooting,85,South Parkdale,85,South Parkdale (85),-79.436015021327,43.6371744840075
-8836985.92736377,5410266.34907744,83,GO-20051006774,2005/04/19 04:00:00+00,2005,April,19,Tuesday,109,D52,Other,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.3839952412428,43.6423859814896
-8855792.08105908,5427057.94706297,84,GO-2005739652,2005/04/24 04:00:00+00,2005,April,24,Sunday,114,D31,Shooting,21,Humber Summit,21,Humber Summit (21),-79.552933794057,43.7514449873754
-8825479.61974246,5435538.05141503,85,GO-2005736140,2005/05/04 04:00:00+00,2005,May,4,Wednesday,124,D42,Stabbing,129,Agincourt North,129,Agincourt North (129),-79.2806323209953,43.8064466559192
-8842700.92319069,5412954.84506869,86,GO-2005739574,2005/05/05 04:00:00+00,2005,May,5,Thursday,125,D14,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.4353339220624,43.6598607107425
-8851604.84516708,5427639.07579038,87,GO-2005737037,2005/05/05 04:00:00+00,2005,May,5,Thursday,125,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5153192136254,43.7552157834165
-8832286.72723367,5415983.15437391,88,GO-2005756176,2005/05/08 04:00:00+00,2005,May,8,Sunday,128,D54,Shooting,66,Danforth,66,Danforth (66),-79.3417816084041,43.6795380762756
-8836722.13456831,5414110.19418396,89,GO-20051001532,2005/05/14 04:00:00+00,2005,May,14,Saturday,134,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.3816255498256,43.6673687064724
-8821497.55947561,5431896.94767685,90,GO-2005863844,2005/05/15 04:00:00+00,2005,May,15,Sunday,135,D41,Shooting,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),-79.2448608649539,43.7828367785588
-8815462.44408145,5428177.02648609,91,GO-2005988453,2005/05/18 04:00:00+00,2005,May,18,Wednesday,138,D42,Shooting,136,West Hill,136,West Hill (136),-79.190646501461,43.758706196006
-8850974.19531617,5425245.32843349,92,GO-2005781084,2005/05/27 04:00:00+00,2005,May,27,Friday,147,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096539899249,43.7396818407209
-8827072.46083656,5417550.80395971,93,GO-2005760646,2005/06/12 04:00:00+00,2005,June,12,Sunday,163,D55,Shooting,62,East End-Danforth,62,East End-Danforth (62),-79.2949410564993,43.6897218239441
-8852330.52568429,5429423.96454173,94,GO-20051000509,2005/06/24 04:00:00+00,2005,June,24,Friday,175,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.5218381130854,43.766795984527
